code,name,price,vol,trade_value,pe,industry,chip_ratio,value_billion,回檔%,今日漲幅%,chip_success
2236,百達-KY,149.0,328.033,48731864,,其他,-10.36,0.49,21.37,-0.67,1
2239,英利-KY,20.1,59.081,1171749,,其他,-35.54,0.01,15.9,0.75,1
2241,艾姆勒,35.0,431.613,14906461,,其他,-24.23,0.15,30.56,2.34,1
2243,宏旭-KY,50.4,1013.094,51207366,20.24,其他,-40.93,0.51,25.66,-7.35,1
2247,汎德永業,225.0,49.299,10935600,14.17,其他,24.34,0.11,5.43,1.58,1
2248,華勝-KY,62.2,124.299,7780611,10.51,其他,8.85,0.08,12.15,-0.8,1
2250,IKKA-KY,61.1,61.795,3783601,18.13,其他,4.85,0.04,20.34,0.0,1
2254,巨鎧精密-創,60.6,7.0,418300,,其他,0.0,0.0,4.87,0.17,1
2258,鴻華先進-創,32.05,416.583,13035127,,其他,-13.68,0.13,8.43,1.1,1
2301,光寶科,214.5,15730.932,3440569852,31.54,電腦及週邊設備業,-6.95,34.41,8.14,-1.61,1
2302,麗正,43.0,10199.92,448227798,54.43,半導體業,-10.99,4.48,25.99,1.3,1
2303,聯電,128.0,152268.547,20106908508,32.16,半導體業,-1.87,201.07,29.82,-7.58,1
2305,全友,32.3,7896.006,260043195,119.63,電腦及週邊設備業,-35.04,2.6,24.27,-5.97,1
2308,台達電,1785.0,7041.974,12821156407,65.82,電子零組件業,-18.83,128.21,16.39,-5.05,1
2312,金寶,31.85,14342.054,463307633,30.63,其他電子業,-9.97,4.63,17.38,-2.0,1
2313,華通,201.5,19923.538,4085373927,35.54,電子零組件業,-31.98,40.85,19.08,-5.84,1
2314,台揚,12.35,174.354,2145182,,通信網路業,-8.03,0.02,21.59,-2.76,1
2316,楠梓電,156.0,2555.924,404068883,10.1,電子零組件業,-22.24,4.04,33.82,-5.74,1
2317,鴻海,252.5,33694.573,8518599943,17.93,其他電子業,-16.14,85.19,2.7,-1.94,1
2321,東訊,15.0,10.974,161123,,通信網路業,0.0,0.0,10.18,-5.66,1
2323,中環,10.35,4732.933,49131045,4.75,光電業,-39.1,0.49,15.16,-2.36,1
2324,仁寶,37.2,43851.839,1619085116,27.97,電腦及週邊設備業,17.27,16.19,3.88,1.22,1
2327,國巨*,642.0,41798.307,27550275085,50.55,電子零組件業,1.22,275.5,47.38,-7.76,1
2328,廣宇,45.3,2059.926,94031394,46.22,電子零組件業,-30.24,0.94,15.01,-2.58,1
2329,華泰,45.05,3315.581,150992468,20.38,半導體業,-34.91,1.51,22.59,-4.35,1
2330,台積電,2350.0,24810.509,58407263735,31.59,半導體業,-36.62,584.07,6.19,-2.29,1
2331,精英,19.25,1259.292,24440394,38.5,電腦及週邊設備業,-50.25,0.24,15.38,-2.53,1
2332,友訊,22.1,45243.788,1019704197,,通信網路業,-15.14,10.2,16.45,-1.34,1
2337,旺宏,124.0,39475.036,4995899408,,半導體業,-13.55,49.96,30.92,-4.25,1
2338,光罩,40.65,1451.127,59213468,,半導體業,-26.89,0.59,25.82,-3.21,1
2340,台亞,30.65,3073.144,95533586,,半導體業,-35.56,0.96,31.2,-5.4,1
2342,茂矽,39.1,2300.908,90874245,,半導體業,-2.08,0.91,35.58,-5.21,1
2344,華邦電,154.5,135375.417,21437572271,45.85,半導體業,-8.89,214.38,31.33,-4.04,1
2345,智邦,2220.0,1607.977,3627658175,41.98,通信網路業,-10.92,36.28,21.42,-4.52,1
2347,聯強,88.6,3649.775,322139961,15.41,電子通路業,36.01,3.22,5.38,0.91,1
2348,海悅,78.2,408.197,31769537,18.84,其他,-31.36,0.32,4.98,-1.26,1
2349,錸德,11.25,1138.258,12739371,,光電業,0.66,0.13,19.35,-0.44,1
2351,順德,161.0,2299.713,371365870,71.24,半導體業,15.15,3.71,30.9,-1.83,1
2352,佳世達,29.2,6370.708,188343773,47.1,電腦及週邊設備業,-49.27,1.88,16.82,-2.99,1
2353,宏碁,30.05,11836.156,354873869,22.77,電腦及週邊設備業,-7.91,3.55,14.27,-0.33,1
2354,鴻準,57.1,4134.83,235375718,27.06,其他電子業,-6.71,2.35,5.31,0.18,1
